# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0.0000000, 89655.9151991, 43129.1698887, 2.9287513, -0.0664378, 10.0866190, -5.6470548
1.9905281, 89655.3415609, 43127.2359234, 2.7683816, -0.0942653, 8.9027322, -1.9037415
3.9810562, 89654.4453046, 43125.5189123, 2.5343615, -0.1414875, 8.4663887, -0.2268640
5.9715844, 89653.1057566, 43124.0377968, 2.3008988, -0.0841241, 8.4128818, 0.7018259
7.9621125, 89651.4913950, 43122.8105302, 2.1358728, -0.1024689, 8.5773299, 2.3254289
9.9526406, 89649.7331970, 43121.9861634, 1.8603371, -0.1638916, 9.1010028, 2.4069501
11.9431687, 89647.7818469, 43121.6878973, 1.6141478, -0.0789410, 9.6130357, 2.0950501
13.9336968, 89645.8315171, 43121.7121365, 1.5183081, -0.0292638, 10.0374782, 2.0577593
15.9242250, 89643.7794840, 43121.8675864, 1.4736095, -0.0272157, 10.4375775, 2.0178207
17.9147531, 89641.8013615, 43122.1375710, 1.3840471, -0.0656655, 10.8155481, 2.2628189
19.9052812, 89639.8518167, 43122.6651020, 1.2246638, -0.0831253, 11.2242813, 2.5106101
21.8958093, 89638.0756340, 43123.4776523, 1.0583222, -0.0824484, 11.6610193, 2.8931618
23.8863374, 89636.4229894, 43124.5696805, 0.9280728, -0.0449297, 12.1448430, 3.2438013
25.8768656, 89634.8952407, 43125.8116053, 0.8497131, -0.0381226, 12.6653451, 3.4875878
27.8673937, 89633.4440373, 43127.1848281, 0.7790926, -0.0297698, 13.2020926, 3.7236239
29.8579218, 89632.0732826, 43128.6467978, 0.7309429, -0.0188906, 13.7520619, 4.0265480
31.8484499, 89630.7705885, 43130.1510012, 0.6979807, -0.0144094, 14.3230276, 4.2417932
33.8389781, 89629.5101992, 43131.6941921, 0.6726159, -0.0118746, 14.9008703, 4.4720936
35.8295062, 89628.2886468, 43133.2647097, 0.6497659, -0.0110767, 15.4867554, 4.6755355
37.8200343, 89627.1000009, 43134.8619175, 0.6310438, -0.0075045, 16.0764785, 4.8390031
39.8105624, 89625.9354106, 43136.4767453, 0.6196310, -0.0043826, 16.6648584, 4.9893306
41.8010905, 89624.7857495, 43138.1010120, 0.6129321, -0.0023459, 17.2505163, 4.2607054
43.7916187, 89623.6425682, 43139.7324669, 0.6100499, -0.0005865, 17.7353438, 2.0727776
45.7821468, 89622.5026442, 43141.3633682, 0.6104536, 0.0006922, 17.9664761, -2.0958220
47.7726749, 89621.3606608, 43142.9928823, 0.6122168, 0.0010801, 17.7327572, -7.3660448
49.7632030, 89620.2149535, 43144.6221473, 0.6127668, -0.0009500, 16.8856756, -8.4284407
51.7537311, 89619.0741899, 43146.2510088, 0.6081881, -0.0039384, 15.8610196, -8.6652016
53.7442593, 89617.9456834, 43147.8899578, 0.5965689, -0.0077018, 14.7334751, -7.7975590
55.7347874, 89616.8492706, 43149.5423018, 0.5708419, -0.0195996, 13.6393830, -6.9808901
57.7253155, 89615.8127124, 43151.2440259, 0.5191061, -0.0327316, 12.5794059, -6.0630662
59.7158436, 89614.8902672, 43153.0091483, 0.4390642, -0.0476403, 11.5803301, -5.4146730
61.7063717, 89614.1410811, 43154.8457981, 0.3315525, -0.0599357, 10.6088608, -5.1757813
63.6968999, 89613.6102031, 43156.7778010, 0.2021336, -0.0664581, 9.5886834, -5.9096048
65.6874280, 89613.3388642, 43158.7662442, 0.0674939, -0.0714050, 8.2714195, -3.2412343
67.6779561, 89613.3711626, 43160.8262945, -0.1129989, -0.1144272, 7.4506943, -1.4444589
69.6684842, 89613.8707205, 43162.6678025, -0.4768317, -0.2835403, 7.0542450, -0.7773842
71.6590123, 89615.1570940, 43164.1256367, -0.8973643, -0.1073846, 6.8313661, -0.5363826
73.6495405, 89616.8279005, 43165.2296847, -1.0716843, -0.1043703, 6.6732446, 1.1406114
75.6400686, 89618.6810322, 43165.8451924, -1.4738865, -0.2288258, 7.0052146, 2.3987837
77.6305967, 89620.5996591, 43165.6578137, -1.8370695, -0.1505237, 7.6565478, 2.1441550
79.6211248, 89622.4592852, 43164.8915295, -2.0590581, -0.0772695, 8.1950428, 2.1403718
81.6116529, 89624.1896580, 43163.8047200, -2.2024070, -0.0719702, 8.6994061, 2.1926493
83.6021811, 89625.7118079, 43162.4995781, -2.3603900, -0.0825030, 9.1874222, 2.4198875
85.5927092, 89626.9792555, 43161.0007937, -2.5152102, -0.0721473, 9.6975479, 2.6711184
87.5832373, 89628.0344433, 43159.3143662, -2.6456165, -0.0596135, 10.2311440, 3.3072478
89.5737654, 89628.8836233, 43157.5150112, -2.7509119, -0.0454519, 10.8555353, 3.7433343
91.5642936, 89629.5664890, 43155.6487697, -2.8255650, -0.0300147, 11.5215047, 4.3108378
93.5548217, 89630.1375754, 43153.7407508, -2.8713534, -0.0160864, 12.2436415, 4.8539056
95.5453498, 89630.6470599, 43151.8160530, -2.8897052, -0.0023166, 13.0088597, 3.1992471
97.5358779, 89631.1478256, 43149.8882768, -2.8806833, 0.0111471, 13.4895075, -2.2400845
99.5264060, 89631.6907973, 43147.9728640, -2.8457869, 0.0239860, 13.1548056, -5.1187428
101.5169342, 89632.3245049, 43146.0872384, -2.7841950, 0.0382336, 12.3560069, -5.8547585
103.5074623, 89633.0996836, 43144.2546737, -2.6941145, 0.0515173, 11.3737762, -5.1163593
105.4979904, 89634.0586057, 43142.5091462, -2.5805077, 0.0631430, 10.4400321, -5.0485614
107.4885185, 89635.2145278, 43140.9164294, -2.4428897, 0.0752629, 9.4284496, -4.7241098
109.4790466, 89636.6186565, 43139.4820477, -2.2918354, 0.0726271, 8.3719004, -3.4560612
111.4695748, 89638.2300151, 43138.2718081, -2.1308834, 0.0945410, 7.5053276, -2.2479089
113.4601029, 89640.0739729, 43137.4005786, -1.8711110, 0.1564525, 6.8833778, -0.8317771
115.4506310, 89641.9614596, 43137.1687392, -1.4717511, 0.2920165, 6.6384892, -0.8116077
117.4411591, 89643.7987534, 43137.8675463, -1.0175245, 0.0909351, 6.3904994, -0.0548961
119.4316872, 89645.4026765, 43139.0672449, -0.8208605, 0.1419742, 6.3733773, 2.1548924
121.4222154, 89646.4998663, 43140.6408630, -0.3534967, 0.2440852, 7.0141775, 2.2608415
123.4127435, 89646.8529958, 43142.5351367, -0.0606257, 0.1018973, 7.6288416, 2.2659150
125.4032716, 89646.7731088, 43144.6133046, 0.1329460, 0.0846195, 8.1987779, 2.3308144
127.3937997, 89646.3519477, 43146.5648812, 0.2889267, 0.0749071, 8.7463742, 2.8520835
129.3843278, 89645.6415342, 43148.4392295, 0.4304956, 0.0608668, 9.3730127, 3.3043144
131.3748560, 89644.7273305, 43150.1869708, 0.5246992, 0.0364210, 10.0502750, 4.0835998
133.3653841, 89643.6756288, 43151.8758840, 0.5849786, 0.0237304, 10.8288997, 4.5125522
135.3559122, 89642.5465554, 43153.5104797, 0.6207259, 0.0135067, 11.6288345, 4.8666669
