s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000, 89655.9125366, 43129.1699576, 2.9272538, -0.0655638, 8.1776713, -1.2493529
0.9989890, 89655.6542664, 43128.1603423, 2.8530249, -0.0772336, 8.0235982, -1.2255904
1.9979780, 89655.3367903, 43127.2293144, 2.7707505, -0.0903336, 7.8695251, -0.9394943
2.9969670, 89654.9450591, 43126.3458993, 2.6731115, -0.1181291, 7.7493443, -0.6520127
3.9959560, 89654.4478782, 43125.4997945, 2.5442596, -0.1379937, 7.6648307, -0.1478683
4.9949450, 89653.8227338, 43124.7035859, 2.4110154, -0.1158743, 7.6455341, 2.6847023
5.9939340, 89653.1246318, 43123.9987387, 2.3168962, -0.0796024, 7.9886274, 2.8025344
6.9929230, 89652.3540029, 43123.3383468, 2.2437531, -0.0675416, 8.3317207, 2.7156123
7.9919120, 89651.5327435, 43122.7303845, 2.1679955, -0.0919217, 8.6512024, 2.6325575
8.9909010, 89650.6785796, 43122.2140815, 2.0534205, -0.1369095, 8.9500333, 2.6662152
9.9898900, 89649.7943180, 43121.8287046, 1.9059117, -0.1600208, 9.2428424, 2.3836244
10.9888790, 89648.8711297, 43121.5800740, 1.7670994, -0.1273970, 9.4969766, 2.4482740
11.9878680, 89647.8610617, 43121.4393753, 1.6583018, -0.0865055, 9.7511108, 2.0290070
12.9868570, 89646.8785223, 43121.3896435, 1.5896200, -0.0551895, 9.9568104, 1.8113378
13.9858460, 89645.8935516, 43121.3944271, 1.5453511, -0.0362433, 10.1369170, 1.8438091
14.9848350, 89644.8592505, 43121.4376677, 1.5148709, -0.0234689, 10.3170236, 1.6459118
15.9838240, 89643.8423001, 43121.5062154, 1.4907444, -0.0299295, 10.4751836, 1.5421016
16.9828130, 89642.8423101, 43121.6043418, 1.4524159, -0.0467098, 10.6212314, 1.5634532
17.9818020, 89641.8520612, 43121.7488511, 1.3960264, -0.0667234, 10.7672792, 1.6239335
18.9807910, 89640.8662060, 43121.9612184, 1.3185696, -0.0813326, 10.9169082, 1.7039001
19.9797800, 89639.8917276, 43122.2561633, 1.2348883, -0.0832668, 11.0717316, 1.7278946
20.9787690, 89638.9736395, 43122.6202701, 1.1509604, -0.0870052, 11.2265549, 1.8739805
21.9777580, 89638.0951568, 43123.0592065, 1.0635782, -0.0878867, 11.3920897, 2.1183048
