s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000, 89655.9290539, 43129.1695305, 2.9255499, -0.0681032, 9.8873384, -5.6742105
0.9977759, 89655.6678169, 43128.1615640, 2.8482398, -0.0808450, 9.2971114, -5.3250660
1.9955518, 89655.3443092, 43127.2335236, 2.7616546, -0.0958031, 8.7068844, -2.9730574
2.9933276, 89654.9423842, 43126.3557665, 2.6580138, -0.1245013, 8.3592431, -0.6987438
3.9911035, 89654.4305679, 43125.5195829, 2.5235771, -0.1430636, 8.2754194, -0.5929027
4.9888794, 89653.7881901, 43124.7387975, 2.3863446, -0.1194256, 8.2036210, -0.0098690
5.9866553, 89653.0683844, 43124.0500233, 2.2876358, -0.0848667, 8.2024206, -0.0098676
6.9844312, 89652.2793553, 43123.4170769, 2.2073270, -0.0775654, 8.2012202, 1.3270637
7.9822071, 89651.4312799, 43122.8440132, 2.1174831, -0.1069517, 8.3611146, 2.4670201
8.9799829, 89650.5523063, 43122.3796240, 1.9889953, -0.1500289, 8.6505088, 2.5361360
9.9777588, 89649.6589468, 43122.0610044, 1.8351459, -0.1641122, 8.9382489, 2.5748535
10.9755347, 89648.7234378, 43121.8797880, 1.6956515, -0.1238432, 9.2212010, 2.6550939
11.9733106, 89647.6796375, 43121.8070833, 1.5941464, -0.0719656, 9.5041530, 2.2215755
12.9710865, 89646.7328791, 43121.8119259, 1.5419412, -0.0418376, 9.7345875, 2.2140411
13.9688624, 89645.7347847, 43121.8584844, 1.5091412, -0.0253807, 9.9589370, 2.2644860
14.9666382, 89644.6861322, 43121.9351239, 1.4883837, -0.0148149, 10.1832866, 2.1094881
15.9644141, 89643.6751571, 43122.0275547, 1.4684498, -0.0271688, 10.3879218, 2.1227261
16.9621900, 89642.6742568, 43122.1470351, 1.4326059, -0.0445791, 10.5898503, 2.1635921
17.9599659, 89641.6981565, 43122.3082468, 1.3778863, -0.0673308, 10.7917788, 2.3334546
18.9577418, 89640.7061238, 43122.5415389, 1.2999320, -0.0798903, 11.0054086, 2.4497647
19.9555176, 89639.7458356, 43122.8509986, 1.2176310, -0.0830474, 11.2253129, 2.4982304
20.9532935, 89638.8519300, 43123.2223572, 1.1361528, -0.0850816, 11.4452173, 2.7982307
21.9510694, 89637.9725828, 43123.6761482, 1.0537375, -0.0787415, 11.6866168, 2.9492427
22.9488453, 89637.1294036, 43124.1972687, 0.9835490, -0.0615510, 11.9357605, 3.0201823
23.9466212, 89636.3152222, 43124.7715550, 0.9331165, -0.0401877, 12.1856190, 3.2781958
24.9443971, 89635.5434237, 43125.3668611, 0.8947051, -0.0386679, 12.4511493, 3.3488594
25.9421729, 89634.7745813, 43126.0081921, 0.8566653, -0.0373514, 12.7166796, 3.4460014
26.9399488, 89634.0210526, 43126.6864234, 0.8195359, -0.0348150, 12.9842449, 3.6158525
27.9377247, 89633.3107710, 43127.3714371, 0.7885583, -0.0282191, 13.2591944, 3.6916182
28.9355006, 89632.6089158, 43128.0875262, 0.7630654, -0.0228059, 13.5341439, 3.7821561
29.9332765, 89631.9199201, 43128.8236193, 0.7423788, -0.0187410, 13.8101607, 3.9168671
30.9310523, 89631.2526436, 43129.5642714, 0.7245646, -0.0170268, 14.0903105, 3.9955260
31.9288282, 89630.5969186, 43130.3174660, 0.7083500, -0.0154706, 14.3704603, 4.0490647
32.9266041, 89629.9529233, 43131.0807006, 0.6936090, -0.0142344, 14.6488992, 3.9633435
33.9243800, 89629.3197762, 43131.8533340, 0.6793882, -0.0142323, 14.9164106, 4.0350654
34.9221559, 89628.6985960, 43132.6337151, 0.6652070, -0.0141977, 15.1839220, 4.0932460
35.9199318, 89628.0889567, 43133.4222481, 0.6510923, -0.0139730, 15.4505589, 3.9895118
36.9177076, 89627.4891223, 43134.2203823, 0.6382594, -0.0117349, 15.7060832, 4.0549500
37.9154835, 89626.8990105, 43135.0250350, 0.6276628, -0.0095048, 15.9616074, 4.1174235
38.9132594, 89626.3170298, 43135.8345849, 0.6192957, -0.0072904, 16.2169492, 4.0142439
39.9110353, 89625.7398312, 43136.6501124, 0.6127983, -0.0057141, 16.4620799, 4.0744668
40.9088112, 89625.1680450, 43137.4678464, 0.6078865, -0.0041293, 16.7072105, 4.1346898
41.9065871, 89624.6004261, 43138.2867797, 0.6045653, -0.0025349, 16.9523412, 3.2448873
42.9043629, 89624.0331465, 43139.1097384, 0.6026933, -0.0012170, 17.1422639, 3.2537677
43.9021388, 89623.4677749, 43139.9320659, 0.6021364, 0.0001032, 17.3306167, 3.2893235
44.8999147, 89622.9034275, 43140.7527220, 0.6029018, 0.0014365, 17.5189694, -1.1198208
