s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000, 89656.1590342, 43129.1635844, 2.9349959, -0.0898196, 10.3458957, -2.7965058
0.9974447, 89655.8995010, 43128.1604600, 2.8417956, -0.0901085, 10.0726778, -3.2452313
1.9948895, 89655.5660440, 43127.2309822, 2.7522675, -0.0914175, 9.7460228, -2.6446031
2.9923342, 89655.1601266, 43126.3558834, 2.6595911, -0.1089732, 9.4714978, -1.4572467
3.9897790, 89654.6584095, 43125.5179536, 2.5417459, -0.1261447, 9.3167711, -0.8830150
4.9872237, 89654.0312691, 43124.7137250, 2.4200856, -0.1075442, 9.2217518, -2.9304290
5.9846685, 89653.3334396, 43123.9974275, 2.3197214, -0.0993592, 8.8991474, -3.0142520
6.9821132, 89652.5546232, 43123.3474598, 2.2081163, -0.1274743, 8.5546318, -0.3398613
7.9795579, 89651.7144843, 43122.8167903, 2.0518237, -0.1655087, 8.5149127, -0.3398613
8.9770027, 89650.8045519, 43122.4203770, 1.9270971, -0.0725048, 8.4750076, 4.9633168
9.9744474, 89649.8781680, 43122.0913295, 1.9172331, 0.0460349, 9.0402999, 4.9169046
10.9718922, 89648.9877155, 43121.7641287, 1.9139421, -0.0471344, 9.5674293, 1.2552117
11.9693369, 89648.0245088, 43121.4588680, 1.8303599, -0.1130801, 9.6974075, -0.4367273
12.9667816, 89647.0423530, 43121.2633372, 1.7015857, -0.1287989, 9.6523826, -0.4367273
13.9642264, 89646.0733895, 43121.1953943, 1.5814447, -0.1198883, 9.6071466, 0.5019962
14.9616711, 89645.0532670, 43121.2464385, 1.4605412, -0.1175759, 9.6591249, 0.5929877
15.9591159, 89644.0414091, 43121.4205155, 1.3421942, -0.1055988, 9.7201666, 1.5799667
16.9565606, 89643.0752370, 43121.6960946, 1.2470216, -0.0856908, 9.8809664, 3.1760521
17.9540054, 89642.1357790, 43122.0548828, 1.1666353, -0.0755679, 10.1965372, 3.6558940
18.9514501, 89641.2342000, 43122.4806554, 1.0930380, -0.0707159, 10.5481029, 3.6104303
19.9488948, 89640.3190595, 43122.9935770, 1.0312822, -0.0452734, 10.8841575, 4.7446959
20.9463396, 89639.4821411, 43123.5142934, 1.0029636, -0.0098768, 11.3106157, 4.7003280
21.9437843, 89638.6780069, 43124.0244578, 1.0144331, 0.0247079, 11.7177926, 4.6563750
22.9412291, 89637.8278936, 43124.5409640, 1.0329514, 0.0111321, 12.1076677, 4.6128330
23.9386738, 89636.9786084, 43125.0445286, 1.0354176, -0.0058072, 12.4818952, 4.5696982
24.9361185, 89636.1530488, 43125.5395348, 1.0243673, -0.0158578, 12.8418749, 4.5269668
25.9335633, 89635.3122853, 43126.0613531, 1.0051851, -0.0226255, 13.1888040, 4.4846349
26.9310080, 89634.4425734, 43126.6291779, 0.9786031, -0.0284036, 13.5237162, 4.4426989
27.9284528, 89633.6322010, 43127.1915460, 0.9493088, -0.0308331, 13.8475122, 4.4011550
28.9258975, 89632.8292317, 43127.7861246, 0.9169949, -0.0340479, 14.1609820, 4.2322577
29.9233423, 89632.0384508, 43128.4148316, 0.8803982, -0.0386516, 14.4560125, 2.9431597
30.9207870, 89631.2766585, 43129.0699422, 0.8406544, -0.0395001, 14.6576798, 2.5063970
31.9182317, 89630.5453286, 43129.7510415, 0.8012555, -0.0393978, 14.8272574, 2.3079491
32.9156765, 89629.8452155, 43130.4564205, 0.7620080, -0.0396372, 14.9817110, 2.0512373
33.9131212, 89629.1702379, 43131.1921900, 0.7230713, -0.0374176, 15.1176604, 2.3771429
34.9105660, 89628.5233026, 43131.9524480, 0.6876750, -0.0334216, 15.2736962, 3.1096850
35.9080107, 89627.9043665, 43132.7308570, 0.6565750, -0.0290698, 15.4754409, 3.9154900
36.9054555, 89627.3071384, 43133.5283014, 0.6297055, -0.0251074, 15.7257827, 4.1407801
37.9029002, 89626.7291295, 43134.3417721, 0.6064242, -0.0215526, 15.9862641, 4.1020595
38.9003449, 89626.1692942, 43135.1666670, 0.5867039, -0.0180108, 16.2401908, 4.0637010
39.8977897, 89625.6239207, 43136.0021810, 0.5704542, -0.0146377, 16.4878874, 4.0257011
40.8952344, 89625.0905872, 43136.8459298, 0.5574640, -0.0113852, 16.7296521, 3.9880566
41.8926792, 89624.5676460, 43137.6944198, 0.5477459, -0.0081110, 16.9657594, 3.9507641
42.8901239, 89624.0511024, 43138.5479330, 0.5411996, -0.0052222, 17.1964627, 3.9138203
43.8875686, 89623.5385535, 43139.4049310, 0.5372174, -0.0027494, 17.4219967, 3.8772220
44.8850134, 89623.0293883, 43140.2615953, 0.5357181, -0.0002544, 17.6425791, 3.8409659
45.8824581, 89622.5201800, 43141.1188313, 0.5366863, 0.0021145, 17.8584126, 3.8050489
46.8799029, 89622.0085753, 43141.9759913, 0.5398960, 0.0043194, 18.0696860, 3.7694677
47.8773476, 89621.4941366, 43142.8295227, 0.5453029, 0.0065325, 18.2765758, 3.7342193
48.8747924, 89620.9739278, 43143.6800771, 0.5528269, 0.0083283, 18.4792472, -1.3347683
49.8722371, 89620.4461377, 43144.5271830, 0.5617802, 0.0096155, 18.4070601, -10.0132002
50.8696818, 89619.9108138, 43145.3682945, 0.5720152, 0.0109187, 17.8562212, -10.0071885
51.8671266, 89619.3667743, 43146.2030545, 0.5829975, 0.0097370, 17.2881867, -10.4774260
52.8645713, 89618.8146915, 43147.0327484, 0.5905377, 0.0053879, 16.6727350, -11.8037292
53.8620161, 89618.2576225, 43147.8602659, 0.5937349, 0.0010265, 15.9509548, -12.3963398
54.8594608, 89617.7009281, 43148.6853714, 0.5926802, -0.0029621, 15.1559767, -11.6353340
55.8569055, 89617.1475717, 43149.5107091, 0.5879905, -0.0064535, 14.3698443, -11.0582844
56.8543503, 89616.5962529, 43150.3445395, 0.5798533, -0.0097935, 13.5805880, -9.9899351
57.8517950, 89616.0534535, 43151.1833912, 0.5676569, -0.0169065, 12.8258939, -8.3644964
58.8492398, 89615.5272687, 43152.0279412, 0.5446626, -0.0292821, 12.1580141, -7.0555948
59.8466845, 89615.0236828, 43152.8914480, 0.5092062, -0.0416572, 11.5646952, -5.9738191
60.8441293, 89614.5578332, 43153.7724676, 0.4615047, -0.0541534, 11.0374393, -5.1583361
61.8415740, 89614.1432142, 43154.6700914, 0.4019589, -0.0660286, 10.5610017, -4.7171665
62.8390187, 89613.7849890, 43155.6012633, 0.3308808, -0.0760008, 10.1056682, -4.7103183
63.8364635, 89613.4950381, 43156.5688017, 0.2502869, -0.0827820, 9.6295361, -4.7146998
64.8339082, 89613.2874240, 43157.5558891, 0.1627615, -0.0921223, 9.1281247, -4.0012570
65.8313530, 89613.1734365, 43158.5529697, 0.0617677, -0.1108553, 8.6798960, -2.3146858
66.8287977, 89613.1704365, 43159.5315414, -0.0606461, -0.1416346, 8.4096999, -1.3287464
67.8262424, 89613.3114155, 43160.5986005, -0.1958960, -0.1084348, 8.2505970, -4.1948511
68.8236872, 89613.5538432, 43161.5689930, -0.2882459, -0.0753024, 7.7268419, -7.6033226
69.8211319, 89613.8461465, 43162.4582644, -0.3436768, -0.0746092, 6.6735521, -0.2068298
70.8185767, 89614.2431520, 43163.3636291, -0.5170426, -0.2719627, 6.6425669, -0.2068298
71.8160214, 89614.8337104, 43164.1331802, -0.7828762, -0.2193997, 6.6114365, 2.2049040
72.8134662, 89615.6101428, 43164.7799561, -0.9599476, -0.1584818, 6.9361108, 0.2851542
73.8109109, 89616.4800086, 43165.2826840, -1.1475364, -0.2465155, 6.9769967, -0.2281804
74.8083556, 89617.4283676, 43165.5560168, -1.4313177, -0.2430269, 6.9442990, 0.0543985
75.8058004, 89618.4098015, 43165.6196807, -1.5353499, 0.0232482, 6.9521082, 5.0734447
76.8032451, 89619.3114546, 43165.6517633, -1.5584442, -0.0975506, 7.6454411, 5.0260026
77.8006899, 89620.3174662, 43165.5982948, -1.7018333, -0.1726386, 8.2752093, -0.1431296
78.7981346, 89621.3483183, 43165.3615695, -1.8885616, -0.1521738, 8.2579393, 1.3030702
79.7955794, 89622.2516023, 43164.9989066, -2.0087132, -0.1026443, 8.4138601, 4.4016566
80.7930241, 89623.1581800, 43164.5193439, -2.1030527, -0.0851645, 8.9204182, 4.8501284
81.7904688, 89624.0156463, 43163.9630815, -2.1900328, -0.0884004, 9.4471864, 3.6919698
82.7879136, 89624.8300466, 43163.3220487, -2.2866105, -0.0964599, 9.8292626, 2.2277018
83.7853583, 89625.5465433, 43162.6357111, -2.3826008, -0.0953048, 10.0527818, 1.8949346
84.7828031, 89626.1817959, 43161.9027750, -2.4706077, -0.0846476, 10.2390725, 2.6342376
85.7802478, 89626.7648140, 43161.1058959, -2.5469995, -0.0705599, 10.4925507, 3.7157382
86.7776925, 89627.2962682, 43160.2610051, -2.6111680, -0.0582599, 10.8400234, 4.6032983
87.7751373, 89627.7781424, 43159.3855509, -2.6638713, -0.0474300, 11.2556287, 4.7061445
88.7725820, 89628.2180062, 43158.4876093, -2.7070902, -0.0397906, 11.6652225, 4.6621371
89.7700268, 89628.6209132, 43157.5750787, -2.7433703, -0.0328565, 12.0572743, 4.6185413
90.7674715, 89628.9929992, 43156.6517375, -2.7724573, -0.0255319, 12.4334767, 4.5753531
91.7649163, 89629.3416474, 43155.7185816, -2.7946714, -0.0198127, 12.7952596, 4.5325687
92.7623610, 89629.6721659, 43154.7775549, -2.8122418, -0.0154300, 13.1438442, 4.4901845
93.7598057, 89629.9882878, 43153.8311596, -2.8254731, -0.0110979, 13.4802842, 4.4481966
94.7572505, 89630.2938911, 43152.8814097, -2.8343348, -0.0065399, 13.8054961, 4.4066013
